well_code,UTM_x,UTM_y,wl_m,DTW_m,Source
S21,511304.996680,4587961.994623,847.7584734,2.226110559,Oct/Nov Average (all data pre-2022)
QV10,502069.159286,4605862.749729,844.4224068,7.2771,Oct/Nov Average (all data pre-2022)
K22,512849.003017,4587447.993920,849.5276652,3.387570771,Oct/Nov Average (all data pre-2022)
G11,512086.002464,4597656.994197,833.9288492,2.881262818,Oct/Nov Average (all data pre-2022)
E71,508703.002190,4595480.993775,844.4485372,5.99527884,Oct/Nov Average (all data pre-2022)
B3,509214.003173,4600201.994591,838.0329531,4.368714859,Oct/Nov Average (all data pre-2022)
R18,509271.002309,4591818.994282,850.4344413,1.616889934,Oct/Nov Average (all data pre-2022)
D16,512142.000653,4592662.994344,837.8687053,2.75567394,Oct/Nov Average (all data pre-2022)
N15,513806.998965,4611794.994779,877.3723452,3.513370774,Oct/Nov Average (all data pre-2022)
B9,506707.995113,4596660.994263,847.5696255,18.78170254,Oct/Nov Average (all data pre-2022)
Z36,507779.003011,4587865.994219,920.7648653,7.046334701,Oct/Nov Average (all data pre-2022)
Q21,514879.996545,4578504.994300,902.8040495,4.210646494,Average (all data pre-2022)
