 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     2.5000000E+01   8.2847803E+02   1.8358705E+05   4.8506838E-01   2.5000000E+01   1.8417605E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.6946544E-02   4.6946544E-02
     2.6000000E+01   8.2847101E+02   1.7979838E+05   4.7805518E-01   2.5000000E+01   1.8037581E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.6025421E-02   4.6025421E-02
     2.7000000E+01   8.2846497E+02   1.7600923E+05   4.7199762E-01   2.5000000E+01   1.7657758E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.5300122E-02   4.5300122E-02
     2.8000000E+01   8.2846039E+02   1.7214494E+05   4.6741295E-01   2.5000000E+01   1.7270731E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.4823971E-02   4.4823971E-02
     2.9000000E+01   8.2845416E+02   1.6882608E+05   4.6120414E-01   2.5000000E+01   1.6937780E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.3975674E-02   4.3975674E-02
     3.0000000E+01   8.2844788E+02   1.6549633E+05   4.5487797E-01   2.5000000E+01   1.6603812E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.3183900E-02   4.3183900E-02
     3.1000000E+01   8.2844238E+02   1.6213697E+05   4.4937846E-01   2.5000000E+01   1.6267109E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.2572316E-02   4.2572316E-02
     3.2000000E+01   8.2843848E+02   1.5986636E+05   4.4552103E-01   2.5000000E+01   1.6038536E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.1367039E-02   4.1367039E-02
     3.3000000E+01   8.2843433E+02   1.5739381E+05   4.4136998E-01   2.5000000E+01   1.5790300E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.0583905E-02   4.0583905E-02
     3.4000000E+01   8.2843011E+02   1.5487189E+05   4.3711272E-01   2.5000000E+01   1.5537272E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.9919380E-02   3.9919380E-02
     3.5000000E+01   8.2842584E+02   1.5235369E+05   4.3283525E-01   2.5000000E+01   1.5284694E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.9315175E-02   3.9315175E-02
     3.6000000E+01   8.2842157E+02   1.4986394E+05   4.2859650E-01   2.5000000E+01   1.5035014E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.8752634E-02   3.8752634E-02
     3.7000000E+01   8.2841742E+02   1.4741738E+05   4.2442462E-01   2.5000000E+01   1.4789692E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.8222227E-02   3.8222227E-02
     3.8000000E+01   8.2841327E+02   1.4503352E+05   4.2026117E-01   2.5000000E+01   1.4550656E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.7705112E-02   3.7705112E-02
     3.9000000E+01   8.2840918E+02   1.4270872E+05   4.1619202E-01   2.5000000E+01   1.4317564E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.7216287E-02   3.7216287E-02
     4.0000000E+01   8.2840521E+02   1.4045169E+05   4.1222948E-01   2.5000000E+01   1.4091278E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.6751360E-02   3.6751360E-02
     4.1000000E+01   8.2840210E+02   1.3813675E+05   4.0912646E-01   2.5000000E+01   1.3859405E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.6449108E-02   3.6449108E-02
     4.2000000E+01   8.2839771E+02   1.3620778E+05   4.0471566E-01   2.5000000E+01   1.3665772E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5863079E-02   3.5863079E-02
     4.3000000E+01   8.2839404E+02   1.3415023E+05   4.0104315E-01   2.5000000E+01   1.3459536E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5477940E-02   3.5477940E-02
     4.4000000E+01   8.2839050E+02   1.3219462E+05   3.9752421E-01   2.5000000E+01   1.3263495E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.5097200E-02   3.5097200E-02
     4.5000000E+01   8.2838708E+02   1.3031838E+05   3.9413249E-01   2.5000000E+01   1.3075414E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.4732703E-02   3.4732703E-02
     4.6000000E+01   8.2838434E+02   1.2843279E+05   3.9137816E-01   2.5000000E+01   1.2886541E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.4481999E-02   3.4481999E-02
     4.7000000E+01   8.2838123E+02   1.2674173E+05   3.8822055E-01   2.5000000E+01   1.2716985E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.4124076E-02   3.4124076E-02
     4.8000000E+01   8.2837769E+02   1.2516402E+05   3.8471174E-01   2.5000000E+01   1.2558702E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.3715699E-02   3.3715699E-02
     4.9000000E+01   8.2837469E+02   1.2354953E+05   3.8173008E-01   2.5000000E+01   1.2396891E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.3425894E-02   3.3425894E-02
     5.0000000E+01   8.2837189E+02   1.2201736E+05   3.7889105E-01   2.5000000E+01   1.2243316E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.3140719E-02   3.3140719E-02
     5.1000000E+01   8.2836987E+02   1.2041419E+05   3.7686753E-01   2.5000000E+01   1.2082820E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2999061E-02   3.2999061E-02
     5.2000000E+01   8.2836658E+02   1.1919697E+05   3.7361124E-01   2.5000000E+01   1.1960577E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2583416E-02   3.2583416E-02
     5.3000000E+01   8.2836469E+02   1.1768373E+05   3.7169012E-01   2.5000000E+01   1.1809113E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2471959E-02   3.2471959E-02
     5.4000000E+01   8.2836163E+02   1.1656031E+05   3.6863577E-01   2.5000000E+01   1.1696290E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.2088596E-02   3.2088596E-02
     5.5000000E+01   8.2835919E+02   1.1528076E+05   3.6620557E-01   2.5000000E+01   1.1568060E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1869650E-02   3.1869650E-02
     5.6000000E+01   8.2835693E+02   1.1406667E+05   3.6394459E-01   2.5000000E+01   1.1446385E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1657573E-02   3.1657573E-02
     5.7000000E+01   8.2835480E+02   1.1289919E+05   3.6179563E-01   2.5000000E+01   1.1329382E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1454645E-02   3.1454645E-02
     5.8000000E+01   8.2835254E+02   1.1180369E+05   3.5954556E-01   2.5000000E+01   1.1219544E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1224392E-02   3.1224392E-02
     5.9000000E+01   8.2835046E+02   1.1072603E+05   3.5746452E-01   2.5000000E+01   1.1111532E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.1028321E-02   3.1028321E-02
     6.0000000E+01   8.2834845E+02   1.0969129E+05   3.5545883E-01   2.5000000E+01   1.1007819E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0837337E-02   3.0837337E-02
     6.1000000E+01   8.2834650E+02   1.0869530E+05   3.5352114E-01   2.5000000E+01   1.0907989E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0653119E-02   3.0653119E-02
     6.2000000E+01   8.2834479E+02   1.0763278E+05   3.5181755E-01   2.5000000E+01   1.0801555E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0508049E-02   3.0508049E-02
     6.3000000E+01   8.2834265E+02   1.0672555E+05   3.4967539E-01   2.5000000E+01   1.0710529E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0267460E-02   3.0267460E-02
     6.4000000E+01   8.2834082E+02   1.0578223E+05   3.4781992E-01   2.5000000E+01   1.0615986E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   3.0099131E-02   3.0099131E-02
     6.5000000E+01   8.2833911E+02   1.0487769E+05   3.4611511E-01   2.5000000E+01   1.0525341E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9946588E-02   2.9946588E-02
     6.6000000E+01   8.2833734E+02   1.0402410E+05   3.4438866E-01   2.5000000E+01   1.0439773E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9780123E-02   2.9780123E-02
     6.7000000E+01   8.2833569E+02   1.0319927E+05   3.4269825E-01   2.5000000E+01   1.0357088E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9618723E-02   2.9618723E-02
