,RMSE,NSE,KGE,PBIAS,LNSE
prev,921876.1005839485,0.8152398129134273,0.7265359430277196,22.07463025532148,0.8929737197250733
calb,868349.4826644073,0.8360722866760312,0.7298893775573685,22.159045683201477,0.9405670764234568
prev_low,61967.34447814475,0.26897499884854537,0.4616038066658089,29.186198241006004,0.4008061424448569
prev_med,294305.1247821345,0.7189023613156704,0.8012263599126671,11.95321133889124,0.3839678505323544
prev_high,2017431.469087505,0.6037475582074863,0.610717400129434,26.346550785072576,0.3885818147783744
calb_low,49978.48702567465,0.5244757505264226,0.7257297619493929,3.9684536035070104,0.6648056197346508
calb_med,261685.45037766456,0.7777607813184848,0.8310795042824697,14.206339850244285,0.7130500285528937
calb_high,1905163.9606201174,0.6466223448739516,0.6374994114323016,26.59558569847541,0.44971687417367523
