Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
               16264    10     6   511061.445930  4604561.251760  965.1462   15.2400  0.00000      1.00000      0.00000      0.00000      0.00000    
               16264    10     7   511061.445930  4604561.251760  965.1462   22.8600  0.00000      1.00000      0.00000      0.00000      0.00000    
               16273    11     1   512681.495600  4589913.288000  847.9231    2.4384  0.00000      0.00000      1.00000      0.00000      0.00000    
               16273    11     2   512681.495600  4589913.288000  847.9231   42.6720  0.00000      0.00000      0.00000      0.00000      1.00000    
               16273    11     3   512681.495600  4589913.288000  847.9231   73.1520  0.00000      0.00000      0.00000      1.00000      0.00000    
               16277    12     1   501315.903900  4601331.649030  937.2265    1.8288  0.00000      1.00000      0.00000      0.00000      0.00000    
               16277    12     2   501315.903900  4601331.649030  937.2265    7.6200  0.00000      1.00000      0.00000      0.00000      0.00000    
               16277    12     3   501315.903900  4601331.649030  937.2265   15.2400  0.00000      1.00000      0.00000      0.00000      0.00000    
               16277    12     4   501315.903900  4601331.649030  937.2265   18.5928  0.00000      0.00000      0.00000      1.00000      0.00000    
               16277    12     5   501315.903900  4601331.649030  937.2265   24.0792  0.00000      0.00000      0.00000      1.00000      0.00000    
               16277    12     6   501315.903900  4601331.649030  937.2265   25.2984  0.00000      0.00000      0.00000      1.00000      0.00000    
               16277    12     7   501315.903900  4601331.649030  937.2265   29.2608  0.00000      0.00000      0.00000      1.00000      0.00000    
               16277    12     8   501315.903900  4601331.649030  937.2265   30.4800  0.00000      0.00000      0.00000      1.00000      0.00000    
               16298    13     1   506190.838400  4596422.715130  927.2290    6.0960  0.00000      0.00000      0.00000      1.00000      0.00000    
               16298    13     2   506190.838400  4596422.715130  927.2290   27.4320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16298    13     3   506190.838400  4596422.715130  927.2290   30.4800  0.00000      0.00000      0.00000      1.00000      0.00000    
               16298    13     4   506190.838400  4596422.715130  927.2290   45.7200  0.00000      0.00000      0.00000      1.00000      0.00000    
               16298    13     5   506190.838400  4596422.715130  927.2290   51.2064  0.00000      0.00000      0.00000      1.00000      0.00000    
               16311    14     1   512663.858320  4596487.543910  837.3953   18.5928  0.00000      0.00000      0.00000      1.00000      0.00000    
               16311    14     2   512663.858320  4596487.543910  837.3953   24.6888  0.00000      0.00000      0.00000      1.00000      0.00000    
               16337    15     1   511047.916200  4609387.512660  967.3895    3.0480  0.00000      1.00000      0.00000      0.00000      0.00000    
               16337    15     2   511047.916200  4609387.512660  967.3895   10.6680  0.00000      1.00000      0.00000      0.00000      0.00000    
               16337    15     3   511047.916200  4609387.512660  967.3895   19.8120 -999.000     -999.000     -999.000     -999.000     -999.000    
               16337    15     4   511047.916200  4609387.512660  967.3895   25.6032  0.00000      0.00000      0.00000      1.00000      0.00000    
               16337    15     5   511047.916200  4609387.512660  967.3895   27.1272  0.00000      1.00000      0.00000      0.00000      0.00000    
               16347    16     1   506104.330410  4609457.677510  822.5546    2.1336  0.00000      0.00000      0.00000      1.00000      0.00000    
               16347    16     2   506104.330410  4609457.677510  822.5546    5.1816  0.00000      0.00000      0.00000      1.00000      0.00000    
               16347    16     3   506104.330410  4609457.677510  822.5546   10.6680  0.00000      1.00000      0.00000      0.00000      0.00000    
