 Stress_Period Precip SW_Irr GW_Irr ET Recharge Runoff Storage Error
  67            9849335.            1530849.            1844925.          -16837012.            -885725.                  0.            4497628.                  0.
  68            7416498.            6848608.            8237840.          -23465775.            -547724.                  0.            1510553.                 -0.
  69            1032528.           10937984.           13057691.          -25833055.           -2652990.                  0.            3457842.                 -0.
  70             822959.           10092173.           15205967.          -25564270.           -3011155.                  0.            2454326.                 -0.
  71             417674.            3289297.           16396643.          -20808770.           -1687561.                  0.            2392718.                  0.
  72            2171415.            2822816.            2426904.          -13094176.           -1062838.                  0.            6735879.                  0.
  73            7737014.            1782436.             554255.           -9461731.            -907819.                  0.             295845.                 -0.
  74           23920798.                  0.                  0.           -2879756.           -5136618.                  0.          -15904424.                  0.
  75           51307607.                  0.                  0.            -775268.          -39496776.                  0.          -11035563.                  0.
  76           28758681.                  0.                  0.            -966721.          -27762636.                  0.             -29324.                 -0.
  77             371124.                  0.                  0.           -1014536.            -276998.                  0.             920410.                 -0.
  78            5305488.               1592.               8468.          -12143285.           -1510676.                  0.            8338413.                  0.
  79            4437458.            2453822.            3427159.          -16108246.            -311851.                  0.            6101658.                  0.
  80            1399788.            9896436.           11900235.          -25127807.             -83006.                  0.            2014354.                  0.
  81            7069693.            9145913.           11139179.          -22298018.           -2683586.                  0.           -2373181.                  0.
  82            2125851.            5474611.            8095897.          -15423015.           -1749011.                  0.            1475667.                  0.
  83            6603800.             771140.             855244.           -2296815.           -2175022.                  0.           -3758347.                 -0.
  84            3581591.             594145.             184752.           -2341907.           -1158360.                  0.            -860221.                 -0.
  85            8211587.             106946.              33255.           -1225215.           -2885009.                  0.           -4241565.                 -0.
  86           13108212.                  0.                  0.            -690877.           -8161026.                  0.           -4256310.                  0.
  87            6196957.                  0.                  0.            -725758.           -4530622.                  0.            -940577.                 -0.
  88           31266384.                  0.                  0.            -799680.          -28227084.                  0.           -2239620.                  0.
  89             212071.                  0.                  0.           -1017439.            -150842.                  0.             956210.                  0.
  90           16716671.                  0.                  0.          -11108447.           -6241871.                  0.             633647.                  0.
  91            3540706.            1094141.            1327646.          -16670794.            -254438.                  0.           10962739.                  0.
  92           18341374.            4145173.            5032257.          -19285555.           -1700456.                  0.           -6532793.                 -0.
  93            9645572.            8972278.           10701410.          -27902956.           -4330383.                  0.            2914080.                  0.
  94            2344699.           12658950.           14015668.          -28598374.           -3856725.                  0.            3435783.                 -0.
  95             306842.            8696597.           13484626.          -22103936.           -2665208.                  0.            2281081.                  0.
  96            3763795.            4644931.            2145295.          -16127050.           -1875604.                  0.            7448632.                 -0.
  97            7519426.            1469860.             457058.          -10212204.           -1200307.                  0.            1966166.                  0.
  98           43554971.                  0.                  0.           -2775629.          -17369339.                  0.          -23410003.                  0.
  99            6587372.                  0.                  0.            -725655.           -5702270.                  0.            -159447.                  0.
 100           24986579.                  0.                  0.            -976394.          -23397375.                  0.            -612809.                  0.
 101            2465321.                  0.                  0.           -1658978.           -1841794.                  0.            1035451.                 -0.
 102            4949309.                 59.                537.           -9785603.           -1092331.                  0.            5928029.                 -0.
 103             856278.            2964087.            3627293.          -16101800.             -32909.                  0.            8687051.                  0.
 104             284198.            8880032.           10657536.          -21454121.             -47003.                  0.            1679358.                 -0.
 105                  0.           10809029.           12913378.          -21628128.           -2150666.                  0.              56386.                  0.
 106                  0.           11073316.           14509537.          -23524917.           -2945002.                  0.             887066.                  0.
 107            1123400.            6059571.           12343403.          -19566139.           -1859024.                  0.            1898789.                  0.
 108                  0.            4916698.            2492627.          -13744578.           -1112113.                  0.            7447366.                 -0.
 109            6013542.            2138923.             665106.           -8618335.            -894550.                  0.             695313.                 -0.
 110           17795032.                  0.                  0.           -3411473.           -3505897.                  0.          -10877662.                 -0.
 111            5312665.                  0.                  0.            -718394.           -1758719.                  0.           -2835553.                 -0.
 112           35180875.                  0.                  0.            -765988.          -21279298.                  0.          -13135589.                  0.
 113            3489610.                  0.                  0.           -1318622.           -2113404.                  0.             -57584.                  0.
 114            9232849.                  0.                157.           -7370273.           -5229069.                  0.            3366337.                  0.
 115           14482354.              29272.              65614.          -18140827.           -2073360.                  0.            5636947.                 -0.
 116            2587126.            7274496.            8853533.          -23206650.            -138752.                  0.            4630247.                  0.
 117            2008985.            4590151.            5451695.          -11656443.            -557989.                  0.             163602.                  0.
 118            3989482.            7831933.           10969107.          -22363523.           -2309788.                  0.            1882789.                  0.
 119             350077.            2205050.           15131379.          -19458627.           -1479729.                  0.            3251850.                  0.
 120             883885.            2513921.            2806613.          -12752976.            -829070.                  0.            7377627.                  0.
 121           11398943.            1479887.             460176.          -10092558.           -1376074.                  0.           -1870374.                  0.
 122            3806065.                  0.                  0.           -2703725.            -338807.                  0.            -763532.                  0.
 123            5284851.                  0.                  0.            -712677.           -1038354.                  0.           -3533820.                 -0.
 124            6741824.                  0.                  0.            -960936.           -1643054.                  0.           -4137834.                 -0.
 125            3750330.                  0.                  0.           -1126416.            -930325.                  0.           -1693590.                 -0.
 126           11768463.             106377.             544109.          -12242537.           -2524685.                  0.            2348273.                  0.
 127            4996716.            2811066.            4676407.          -15211088.            -451054.                  0.            3177954.                  0.
 128            2210440.           10142003.           12177571.          -23274346.            -261104.                  0.            -994564.                  0.
 129             493376.            4223867.           15681342.          -21806228.           -1166030.                  0.            2573674.                  0.
 130            2408668.            1121375.           17926124.          -20597606.           -1598677.                  0.             740115.                  0.
 131                  0.             846547.           17356549.          -17043871.           -1374593.                  0.             215368.                  0.
 132            2585536.             693442.            3600942.          -12211118.           -1208070.                  0.            6539268.                 -0.
 133            1313505.             682645.             981773.           -6267927.            -325499.                  0.            3615505.                 -0.
 134           30908691.                  0.                  0.           -2062749.           -6178395.                  0.          -22667547.                  0.
 135           24642115.                  0.                  0.            -773748.          -15078353.                  0.           -8790014.                 -0.
 136           18780782.                  0.                  0.            -992776.          -15556313.                  0.           -2231693.                  0.
 137           12265877.                  0.                  0.           -1418036.          -10608270.                  0.            -239571.                  0.
 138            2518332.              13386.              78903.          -14594408.            -207421.                  0.           12191209.                  0.
 139            8206100.            2963878.            4475778.          -15920755.            -824345.                  0.            1099345.                  0.
 140            1522817.            7681640.            9241519.          -20795256.            -114510.                  0.            2463790.                  0.
 141             585936.            9764422.           11550130.          -20861053.           -1512750.                  0.             473316.                  0.
 142             901875.            5281632.           14918995.          -22420915.           -1765199.                  0.            3083612.                  0.
 143                  0.            1797635.           16085195.          -18144739.           -1342251.                  0.            1604160.                 -0.
 144             687834.            1280522.            3705935.          -12738855.            -912111.                  0.            7976675.                 -0.
 145                  0.            1381591.             674870.           -5966503.            -243639.                  0.            4153681.                 -0.
 146           21522996.                  0.                  0.           -2577055.           -3237639.                  0.          -15708302.                  0.
 147           72561527.                  0.                  0.            -766268.          -54388380.                  0.          -17406879.                 -0.
 148           17614457.                  0.                  0.           -1004148.          -16639060.                  0.              28750.                 -0.
 149           25944796.                  0.                  0.           -3345090.          -22570942.                  0.             -28763.                  0.
 150           18665194.                  0.                  0.          -14676269.           -6330707.                  0.            2341782.                  0.
 151           17230283.                 52.                979.          -13266433.           -3123437.                  0.            -841444.                  0.
 152            1577937.            4962367.            6022089.          -25023244.             -59307.                  0.           12520158.                 -0.
 153                  0.           12099138.           14369492.          -27758226.           -1494545.                  0.            2784141.                  0.
 154            7023777.           10203165.           13897784.          -27937106.           -3692090.                  0.             504470.                 -0.
 155           14685089.            7025194.           10722294.          -24363856.           -5375922.                  0.           -2692799.                  0.
 156             419339.            4047101.            2467945.          -14180599.           -1371696.                  0.            8617910.                 -0.
 157                  0.            1760277.             685372.           -8247497.            -314432.                  0.            6116279.                 -0.
 158           11148719.                  0.                  0.           -3351831.            -862911.                  0.           -6933976.                 -0.
 159           20201948.                  0.                  0.            -762258.           -6049825.                  0.          -13389866.                 -0.
 160           16317429.                  0.                  0.           -1261551.           -8294912.                  0.           -6760965.                 -0.
 161           51095885.                  0.                  0.           -2018541.          -46871235.                  0.           -2206109.                  0.
 162            6989847.                669.               4054.          -11107419.           -2126238.                  0.            6239087.                 -0.
 163            3278967.            2875559.            3672507.          -18735445.            -179028.                  0.            9087439.                 -0.
 164            5193901.            7269202.            8732914.          -22289145.            -302492.                  0.            1395619.                  0.
 165             866227.           10962616.           12966083.          -23752290.           -1781283.                  0.             738647.                 -0.
 166             794738.            6804350.           17456917.          -26028651.           -2264074.                  0.            3236720.                 -0.
 167            1046969.            1736480.           16103552.          -19119362.           -1338802.                  0.            1571164.                  0.
 168                  0.            1671364.            3421171.          -11931370.            -820618.                  0.            7659452.                 -0.
 169           15772076.            1672264.             517597.           -9499465.           -2598850.                  0.           -5863623.                 -0.
 170            5996809.                  0.                  0.           -3373573.            -480043.                  0.           -2143194.                 -0.
 171           27706885.                  0.                  0.           -1195680.           -9367905.                  0.          -17143301.                  0.
 172            9753292.                  0.                  0.            -972874.           -6409325.                  0.           -2371094.                  0.
 173           71742025.                  0.                  0.           -1465946.          -67809580.                  0.           -2466500.                 -0.
 174            4920519.               2231.               9993.          -13375630.            -538147.                  0.            8981034.                  0.
 175            5797288.            2433410.            3048492.          -15147647.            -482783.                  0.            4351239.                  0.
 176           14136028.            5716384.            6892946.          -21485384.           -1611674.                  0.           -3648300.                 -0.
